Date,Open,High,Low,Close,Adj Close,Volume
2010-10-15,1.05,1.1,1.05,1.1,110.0,100000
2010-10-18,1.1,1.1,1.1,1.1,110.0,0
2010-10-19,1.08,1.08,1.01,1.01,101.0,0
2010-10-20,1.01,1.01,1.01,1.01,101.0,0
2010-10-21,1.01,1.02,1.01,1.02,102.0,10000
2010-10-22,1.09,1.09,1.0,1.0,100.0,0
2010-10-25,1.0,1.0,1.0,1.0,100.0,0
2010-10-26,1.0,1.0,1.0,1.0,100.0,0
2010-10-27,1.0,1.0,1.0,1.0,100.0,0
2010-10-28,1.03,1.05,1.03,1.05,105.0,0
2010-10-29,1.1,1.1,1.1,1.1,110.0,20000
2010-11-01,1.06,1.1,1.05,1.05,105.0,20000
2010-11-02,1.05,1.05,1.05,1.05,105.0,0
2010-11-03,1.05,1.05,1.05,1.05,105.0,0
2010-11-04,1.05,1.05,1.05,1.05,105.0,0
2010-11-05,1.08,1.1,1.08,1.1,110.0,0
2010-11-08,1.1,1.1,1.1,1.1,110.0,0
2010-11-09,1.1,1.1,1.1,1.1,110.0,0
2010-11-10,1.1,1.1,1.1,1.1,110.0,0
2010-11-11,1.05,1.05,1.05,1.05,105.0,0
2010-11-12,1.05,1.05,1.05,1.05,105.0,0
2010-11-15,1.05,1.11,1.05,1.11,111.0,170000
2010-11-16,1.1,1.1,1.1,1.1,110.0,50000
2010-11-17,1.05,1.05,1.04,1.05,105.0,60000
2010-11-18,1.05,1.05,1.05,1.05,105.0,30000
2010-11-19,1.01,1.01,0.95,0.96,96.0,0
2010-11-22,0.96,0.96,0.96,0.96,96.0,0
2010-11-23,0.96,0.96,0.96,0.96,96.0,0
2010-11-24,0.96,0.96,0.96,0.96,96.0,0
2010-11-26,0.96,0.96,0.96,0.96,96.0,0
2010-11-29,1.1,1.1,1.03,1.03,103.0,10000
2010-11-30,1.03,1.03,1.03,1.03,103.0,0
2010-12-01,1.19,1.19,1.19,1.19,119.0,0
2010-12-02,1.19,1.19,1.19,1.19,119.0,0
2010-12-03,1.19,1.19,1.19,1.19,119.0,0
2010-12-06,1.16,1.16,1.16,1.16,116.0,0
2010-12-07,1.16,1.16,1.16,1.16,116.0,0
2010-12-08,1.1,1.1,1.1,1.1,110.0,0
2010-12-09,1.1,1.1,1.1,1.1,110.0,0
2010-12-10,1.1,1.1,1.1,1.1,110.0,0
2010-12-13,1.23,1.23,1.18,1.18,118.0,0
2010-12-14,1.18,1.2,1.18,1.2,120.0,0
2010-12-15,1.2,1.2,1.2,1.2,120.0,0
2010-12-16,1.2,1.2,1.2,1.2,120.0,0
2010-12-17,1.2,1.2,1.2,1.2,120.0,0
2010-12-20,1.2,1.2,1.2,1.2,120.0,0
2010-12-21,1.2,1.2,1.2,1.2,120.0,0
2010-12-22,1.2,1.2,1.2,1.2,120.0,0
2010-12-23,1.2,1.2,1.2,1.2,120.0,0
2010-12-27,1.2,1.2,1.2,1.2,120.0,0
2010-12-28,1.2,1.2,1.2,1.2,120.0,0
2010-12-29,1.2,1.2,1.2,1.2,120.0,0
2010-12-30,1.2,1.2,1.2,1.2,120.0,0
2010-12-31,1.25,1.25,1.25,1.25,125.0,0
2011-01-03,1.25,1.25,1.25,1.25,125.0,0
2011-01-04,1.25,1.25,1.25,1.25,125.0,0
2011-01-05,1.25,1.25,1.25,1.25,125.0,0
2011-01-06,1.25,1.25,1.25,1.25,125.0,0
2011-01-07,1.25,1.25,1.25,1.25,125.0,0
2011-01-10,1.25,1.25,1.25,1.25,125.0,0
2011-01-11,1.25,1.25,1.25,1.25,125.0,0
2011-01-12,1.25,1.25,1.25,1.25,125.0,0
2011-01-13,1.25,1.25,1.25,1.25,125.0,0
2011-01-14,1.25,1.25,1.25,1.25,125.0,0
2011-01-18,1.25,1.25,1.25,1.25,125.0,0
2011-01-19,1.25,1.25,1.25,1.25,125.0,0
2011-01-20,1.25,1.25,1.25,1.25,125.0,0
2011-01-21,1.25,1.25,1.25,1.25,125.0,0
2011-01-24,1.25,1.25,1.25,1.25,125.0,0
